Name,Core Values,Organisations,How We Support It,Why We Support It,SDGs,Description,Committed to,CSR
1% For the Planet,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",1% for the Planet (https://www.notion.so/1-for-the-Planet-21cd6625c679817cba19f58c658df947?pvs=21),"We support 1% for the Planet by committing a portion of our profits to environmental causes, collaborating with nonprofit organizations, and actively participating in community initiatives that promote sustainability and conservation efforts.","We support 1% For the Planet because it encourages businesses and individuals to contribute a portion of their revenue to environmental causes. This initiative fosters a community of like-minded organizations committed to sustainability, helping to protect the planet and promote responsible practices. By participating, we align our values with our actions, ensuring that we contribute positively to environmental conservation efforts.",SDG 01 - No Poverty (https://www.notion.so/SDG-01-No-Poverty-28c8e6d771a440d4a9729b03d8f5658a?pvs=21),No content,,
A Good Thing,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21)",A Good Thing (https://www.notion.so/A-Good-Thing-21bd6625c67981dcb931c445aa3a63dd?pvs=21),"We support it by promoting collaboration, fostering open communication, and encouraging innovative thinking within our team. Additionally, we provide resources and training to ensure that all team members understand and embody these core values.","We support it because it aligns with our core values and mission, fostering a positive impact on our community and encouraging collaboration and innovation. By embracing this initiative, we can drive meaningful change and create lasting benefits for all stakeholders involved.",SDG 01 - No Poverty (https://www.notion.so/SDG-01-No-Poverty-28c8e6d771a440d4a9729b03d8f5658a?pvs=21),,,
"Access to Space for All ",,United Nations Office for Outer Space Affairs (https://www.notion.so/United-Nations-Office-for-Outer-Space-Affairs-21bd6625c679813c9507e3aaf38e75ad?pvs=21),"We support access to space for all by promoting inclusive policies, funding educational programs, and fostering partnerships with organizations dedicated to democratizing space exploration. Our initiatives aim to provide resources and opportunities for underrepresented communities to engage in space-related activities and careers.","We support ""Access to Space for All"" because it aims to democratize space exploration and make it accessible to a wider audience. This initiative encourages innovation, collaboration, and the sharing of resources, ultimately leading to advancements in technology and science that can benefit all of humanity. By promoting inclusivity in space activities, we can inspire future generations and foster a sense of unity in our quest to explore the cosmos.",,,,
ASAT,"Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21)",Secure World Foundation (https://www.notion.so/Secure-World-Foundation-21bd6625c67981008176c672ebbedb1b?pvs=21),"We support ASAT by providing resources for research, facilitating collaboration among teams, and ensuring access to necessary tools and technology. Additionally, we prioritize training and development to enhance skills related to ASAT initiatives.","We support ASAT because it fosters innovation, encourages collaboration, and drives the advancement of technology that can benefit society. By investing in ASAT initiatives, we aim to promote sustainable practices and ensure a brighter future for all.","SDG 09 - Industry, Innovation and Infrastructure (https://www.notion.so/SDG-09-Industry-Innovation-and-Infrastructure-f26fae29951e4bb4994f7ea3a0fd0917?pvs=21)",,,
BCorp,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",B Corp UK (https://www.notion.so/B-Corp-UK-21cd6625c67981ac8c99f8984df5f8c6?pvs=21),"We support BCorp by promoting sustainable business practices, facilitating access to resources and networks, and providing guidance on meeting BCorp certification requirements. Our initiatives include workshops, mentorship programs, and collaborative projects that align with BCorp's mission to create a positive impact on society and the environment.","We support BCorp because it emphasizes social and environmental responsibility, promoting a positive impact on society while maintaining high standards of accountability and transparency in business practices.",,Contact type is a pledge with a status of not started and lead status as a prospect.,,
Better Business Act,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Continuous Improvement (https://www.notion.so/Continuous-Improvement-1d1d6625c67980ccb087ce9d21f124a7?pvs=21)",Better Business Network (https://www.notion.so/Better-Business-Network-21bd6625c67981e797d2f31390be9111?pvs=21),"We support the Better Business Act by advocating for policies that ensure businesses prioritize social and environmental responsibilities alongside shareholder interests. We provide resources and guidance for companies to implement these changes effectively, helping them to align their operations with the core values of sustainability and stakeholder engagement. Additionally, we promote transparency through reporting standards that reflect the balance between people, planet, and profit.","We support the Better Business Act because it prioritizes the alignment of shareholder interests with societal and environmental concerns. By empowering directors to consider the welfare of all stakeholders, the act promotes sustainable business practices that benefit not only shareholders but also the community and the planet. This holistic approach encourages businesses to operate responsibly, fostering a culture of accountability and transparency that can lead to long-term success and positive impact.",SDG 08 - Decent Work and Economic Growth (https://www.notion.so/SDG-08-Decent-Work-and-Economic-Growth-8f9f9442810b42ce90273bebe3da1486?pvs=21),"Shareholder interests must align with societal and environmental concerns, empowering directors to prioritize all stakeholders. This principle applies to all businesses, requiring reporting on the balance of people, planet, and profit.","Aligned Interests (https://www.notion.so/Aligned-Interests-1ccd6625c679804f842de214a83904c9?pvs=21), Empowering directors (https://www.notion.so/Empowering-directors-1ccd6625c67980e88329c0ff800f1aff?pvs=21), Default change (https://www.notion.so/Default-change-1ccd6625c67980888b26e678229dc109?pvs=21), Reflected in reporting (https://www.notion.so/Reflected-in-reporting-1ccd6625c679803c95b9f28b32677ea2?pvs=21)",
Business Declares,"Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",,"We support it by aligning our business strategies with the Sustainable Development Goals (SDGs), actively engaging stakeholders, and integrating our core values into our operations to foster sustainable practices.","We support the declaration of business initiatives because they align with our commitment to sustainable development goals (SDGs) and reflect our core values. By pledging to these initiatives, we contribute to positive social and environmental impacts, ensuring that our business practices are responsible and beneficial for both our community and the planet.","SDG 08 - Decent Work and Economic Growth (https://www.notion.so/SDG-08-Decent-Work-and-Economic-Growth-8f9f9442810b42ce90273bebe3da1486?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21)","Contact type is a pledge, currently on hold, with the lead status marked as prospect.",,
Clean Creatives,"Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Integrity (https://www.notion.so/Integrity-1d1d6625c67980018766c3033d14a77b?pvs=21), Continuous Improvement (https://www.notion.so/Continuous-Improvement-1d1d6625c67980ccb087ce9d21f124a7?pvs=21), Innovation (https://www.notion.so/Innovation-1d1d6625c67980f5ae46e753a778e3b0?pvs=21), Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21)",Clean Creatives (https://www.notion.so/Clean-Creatives-45d144a150014d41ab316a6f879f3829?pvs=21),We support Clean Creatives by promoting their mission to encourage advertising agencies and brands to adopt environmentally responsible practices. This includes advocating for transparency in communications and supporting initiatives that reduce the carbon footprint of marketing activities.,"We support Clean Creatives because it advocates for a sustainable and ethical advertising industry. By promoting transparency and accountability, Clean Creatives encourages companies to align their marketing practices with environmentally friendly and socially responsible values. This initiative helps drive positive change within the industry, ensuring that creative professionals can contribute to projects that reflect their principles and protect the planet.",SDG 07 - Affordable and Clean Energy (https://www.notion.so/SDG-07-Affordable-and-Clean-Energy-dbd5f73456e14897b180510f9512babb?pvs=21),No content,"I will decline any future contracts with fossil fuel companies, trade associations, or front groups (https://www.notion.so/I-will-decline-any-future-contracts-with-fossil-fuel-companies-trade-associations-or-front-groups-1cdd6625c67980609a71c971c0614796?pvs=21)",
Climate Action,,Climate Action (https://www.notion.so/Climate-Action-21cd6625c67981179664f3728e0f57f8?pvs=21),"We support climate action by promoting sustainable practices, advocating for renewable energy sources, and engaging in community initiatives that raise awareness about environmental issues. Our commitment includes reducing carbon footprints, supporting legislation for climate protection, and collaborating with organizations dedicated to environmental conservation.","We support climate action because it is essential for preserving our planet for future generations. Addressing climate change helps protect ecosystems, ensures sustainable resources, and promotes public health. By taking proactive measures, we can mitigate the impacts of global warming, foster economic growth through green technologies, and create a more equitable society. Supporting climate action is not just an environmental imperative; it is a moral responsibility to safeguard the Earth and enhance the quality of life for everyone.",SDG 06 - Clean Water and Sanitation (https://www.notion.so/SDG-06-Clean-Water-and-Sanitation-48196b1c212e4ea1b0aecd40b6859db5?pvs=21),No content,,
Creatives for Climate,"Impact (https://www.notion.so/Impact-1d1d6625c67980acb689fdb4b1a12cd7?pvs=21), Collaboration (https://www.notion.so/Collaboration-1d1d6625c67980c8a027fd8f35b4d126?pvs=21), Responsibility (https://www.notion.so/Responsibility-1d1d6625c679804a87dfefdb624951b8?pvs=21)",,"We support Creatives for Climate by promoting awareness of climate issues through creative projects, collaborating with artists and designers to inspire positive change, and engaging communities in sustainability initiatives.","We support Creatives for Climate because it fosters innovative solutions and creative expressions that address climate change. By engaging artists and creatives, we can raise awareness, inspire action, and promote sustainable practices that contribute to a healthier planet for future generations.","SDG 06 - Clean Water and Sanitation (https://www.notion.so/SDG-06-Clean-Water-and-Sanitation-48196b1c212e4ea1b0aecd40b6859db5?pvs=21), SDG 13 - Climate Action (https://www.notion.so/SDG-13-Climate-Action-cc070ddaf49442a78210e3a19895e558?pvs=21)",No content,,
